object,mode_id,run_id,rows_total,rows_ok,rows_excluded,valid_ratio,excluded_ratio,quality_flags,notes,source_file
HW_PLC,S7_L3_STRESS_75_80,RUN_20260502_S7_L3_STRESS_75_80_S01_R03,1000,1000,0,1,0,ok:1000,,raw_logs\hw_plc_s7_1200\S7_L3_STRESS_75_80\RUN_20260502_S7_L3_STRESS_75_80_S01_R03.csv
HW_PLC,S7_L3_STRESS_75_80,RUN_20260502_S7_L3_STRESS_75_80_S01_R04,1000,1000,0,1,0,ok:1000,,raw_logs\hw_plc_s7_1200\S7_L3_STRESS_75_80\RUN_20260502_S7_L3_STRESS_75_80_S01_R04.csv
HW_PLC,S7_L3_STRESS_75_80,RUN_20260502_S7_L3_STRESS_75_80_S01_R05,1000,1000,0,1,0,ok:1000,,raw_logs\hw_plc_s7_1200\S7_L3_STRESS_75_80\RUN_20260502_S7_L3_STRESS_75_80_S01_R05.csv
vPLC_container,VPLC_L0_IDLE_10_20,RUN_20260510_VPLC_L0_IDLE_10_20_S01_R01,1000,997,3,0.997,0.003,invalid_row:3;ok:997,timing_invalid:3,raw_logs\vplc_internal\VPLC_L0_IDLE_10_20\RUN_20260510_VPLC_L0_IDLE_10_20_S01_R01.csv
vPLC_container,VPLC_L0_IDLE_10_20,RUN_20260510_VPLC_L0_IDLE_10_20_S01_R02,1000,991,9,0.991,0.009,invalid_row:9;ok:991,timing_invalid:9,raw_logs\vplc_internal\VPLC_L0_IDLE_10_20\RUN_20260510_VPLC_L0_IDLE_10_20_S01_R02.csv
vPLC_container,VPLC_L0_IDLE_10_20,RUN_20260510_VPLC_L0_IDLE_10_20_S01_R03,1000,991,9,0.991,0.009,invalid_row:9;ok:991,timing_invalid:9,raw_logs\vplc_internal\VPLC_L0_IDLE_10_20\RUN_20260510_VPLC_L0_IDLE_10_20_S01_R03.csv
vPLC_container,VPLC_L0_IDLE_10_20,RUN_20260510_VPLC_L0_IDLE_10_20_S01_R04,1000,995,5,0.995,0.005,invalid_row:5;ok:995,timing_invalid:5,raw_logs\vplc_internal\VPLC_L0_IDLE_10_20\RUN_20260510_VPLC_L0_IDLE_10_20_S01_R04.csv
vPLC_container,VPLC_L0_IDLE_10_20,RUN_20260510_VPLC_L0_IDLE_10_20_S01_R05,1000,996,4,0.996,0.004,invalid_row:4;ok:996,timing_invalid:4,raw_logs\vplc_internal\VPLC_L0_IDLE_10_20\RUN_20260510_VPLC_L0_IDLE_10_20_S01_R05.csv
vPLC_container,VPLC_L1_LIGHT_10_20,RUN_20260510_VPLC_L1_LIGHT_10_20_S01_R01,1000,990,10,0.99,0.01,invalid_row:10;ok:990,timing_invalid:10,raw_logs\vplc_internal\VPLC_L1_LIGHT_10_20\RUN_20260510_VPLC_L1_LIGHT_10_20_S01_R01.csv
vPLC_container,VPLC_L1_LIGHT_10_20,RUN_20260510_VPLC_L1_LIGHT_10_20_S01_R02,1000,986,14,0.986,0.014,invalid_row:14;ok:986,timing_invalid:14,raw_logs\vplc_internal\VPLC_L1_LIGHT_10_20\RUN_20260510_VPLC_L1_LIGHT_10_20_S01_R02.csv
vPLC_container,VPLC_L1_LIGHT_10_20,RUN_20260510_VPLC_L1_LIGHT_10_20_S01_R03,1000,993,7,0.993,0.007,invalid_row:7;ok:993,timing_invalid:7,raw_logs\vplc_internal\VPLC_L1_LIGHT_10_20\RUN_20260510_VPLC_L1_LIGHT_10_20_S01_R03.csv
vPLC_container,VPLC_L1_LIGHT_10_20,RUN_20260510_VPLC_L1_LIGHT_10_20_S01_R04,1000,994,6,0.994,0.006,invalid_row:6;ok:994,timing_invalid:6,raw_logs\vplc_internal\VPLC_L1_LIGHT_10_20\RUN_20260510_VPLC_L1_LIGHT_10_20_S01_R04.csv
vPLC_container,VPLC_L1_LIGHT_10_20,RUN_20260510_VPLC_L1_LIGHT_10_20_S01_R05,1000,998,2,0.998,0.002,invalid_row:2;ok:998,timing_invalid:2,raw_logs\vplc_internal\VPLC_L1_LIGHT_10_20\RUN_20260510_VPLC_L1_LIGHT_10_20_S01_R05.csv
vPLC_container,VPLC_L2_MEDIUM_25_35,RUN_20260510_VPLC_L2_MEDIUM_25_35_S01_R01,1000,1000,0,1,0,ok:1000,,raw_logs\vplc_internal\VPLC_L2_MEDIUM_25_35\RUN_20260510_VPLC_L2_MEDIUM_25_35_S01_R01.csv
vPLC_container,VPLC_L2_MEDIUM_25_35,RUN_20260510_VPLC_L2_MEDIUM_25_35_S01_R02,1000,998,2,0.998,0.002,invalid_row:2;ok:998,timing_invalid:2,raw_logs\vplc_internal\VPLC_L2_MEDIUM_25_35\RUN_20260510_VPLC_L2_MEDIUM_25_35_S01_R02.csv
vPLC_container,VPLC_L2_MEDIUM_25_35,RUN_20260510_VPLC_L2_MEDIUM_25_35_S01_R03,1000,1000,0,1,0,ok:1000,,raw_logs\vplc_internal\VPLC_L2_MEDIUM_25_35\RUN_20260510_VPLC_L2_MEDIUM_25_35_S01_R03.csv
vPLC_container,VPLC_L2_MEDIUM_25_35,RUN_20260510_VPLC_L2_MEDIUM_25_35_S01_R04,1000,999,1,0.999,0.001,invalid_row:1;ok:999,timing_invalid:1,raw_logs\vplc_internal\VPLC_L2_MEDIUM_25_35\RUN_20260510_VPLC_L2_MEDIUM_25_35_S01_R04.csv
vPLC_container,VPLC_L2_MEDIUM_25_35,RUN_20260510_VPLC_L2_MEDIUM_25_35_S01_R05,1000,998,2,0.998,0.002,invalid_row:2;ok:998,timing_invalid:2,raw_logs\vplc_internal\VPLC_L2_MEDIUM_25_35\RUN_20260510_VPLC_L2_MEDIUM_25_35_S01_R05.csv
vPLC_container,VPLC_L3_HIGH_75_100,RUN_20260510_VPLC_L3_HIGH_75_100_S01_R01,1000,1000,0,1,0,ok:1000,,raw_logs\vplc_internal\VPLC_L3_HIGH_75_100\RUN_20260510_VPLC_L3_HIGH_75_100_S01_R01.csv
vPLC_container,VPLC_L3_HIGH_75_100,RUN_20260510_VPLC_L3_HIGH_75_100_S01_R02,1000,1000,0,1,0,ok:1000,,raw_logs\vplc_internal\VPLC_L3_HIGH_75_100\RUN_20260510_VPLC_L3_HIGH_75_100_S01_R02.csv
vPLC_container,VPLC_L3_HIGH_75_100,RUN_20260510_VPLC_L3_HIGH_75_100_S01_R03,1000,1000,0,1,0,ok:1000,,raw_logs\vplc_internal\VPLC_L3_HIGH_75_100\RUN_20260510_VPLC_L3_HIGH_75_100_S01_R03.csv
vPLC_container,VPLC_L3_HIGH_75_100,RUN_20260510_VPLC_L3_HIGH_75_100_S01_R04,1000,1000,0,1,0,ok:1000,,raw_logs\vplc_internal\VPLC_L3_HIGH_75_100\RUN_20260510_VPLC_L3_HIGH_75_100_S01_R04.csv
vPLC_container,VPLC_L3_HIGH_75_100,RUN_20260510_VPLC_L3_HIGH_75_100_S01_R05,1000,1000,0,1,0,ok:1000,,raw_logs\vplc_internal\VPLC_L3_HIGH_75_100\RUN_20260510_VPLC_L3_HIGH_75_100_S01_R05.csv
vPLC_container,VPLC_L3_STRESS_75_80,RUN_20260510_VPLC_L3_STRESS_75_80_S01_R01,1000,1000,0,1,0,ok:1000,,raw_logs\vplc_internal\VPLC_L3_STRESS_75_80\RUN_20260510_VPLC_L3_STRESS_75_80_S01_R01.csv
vPLC_container,VPLC_L3_STRESS_75_80,RUN_20260510_VPLC_L3_STRESS_75_80_S01_R02,1000,1000,0,1,0,ok:1000,,raw_logs\vplc_internal\VPLC_L3_STRESS_75_80\RUN_20260510_VPLC_L3_STRESS_75_80_S01_R02.csv
vPLC_container,VPLC_L3_STRESS_75_80,RUN_20260510_VPLC_L3_STRESS_75_80_S01_R03,1000,1000,0,1,0,ok:1000,,raw_logs\vplc_internal\VPLC_L3_STRESS_75_80\RUN_20260510_VPLC_L3_STRESS_75_80_S01_R03.csv
vPLC_container,VPLC_L3_STRESS_75_80,RUN_20260510_VPLC_L3_STRESS_75_80_S01_R04,1000,1000,0,1,0,ok:1000,,raw_logs\vplc_internal\VPLC_L3_STRESS_75_80\RUN_20260510_VPLC_L3_STRESS_75_80_S01_R04.csv
vPLC_container,VPLC_L3_STRESS_75_80,RUN_20260510_VPLC_L3_STRESS_75_80_S01_R05,1000,1000,0,1,0,ok:1000,,raw_logs\vplc_internal\VPLC_L3_STRESS_75_80\RUN_20260510_VPLC_L3_STRESS_75_80_S01_R05.csv
