object,mode_id,run_count,metric,min,max,mean,median,span,cv,run_values
vPLC_container,VPLC_L1_LIGHT_10_20,5,Rmiss,0.002004008,0.010141988,0.006261074,0.008056395,0.00813798,0.564546,0.009090909;0.010141988;0.008056395;0.002012072;0.002004008
vPLC_container,VPLC_L1_LIGHT_10_20,5,Lburst,1,1,1,1,0,0,1;1;1;1;1
vPLC_container,VPLC_L1_LIGHT_10_20,5,DQ99,8,15,11.4,11,7,0.211983263,15;13;11;10;8
vPLC_container,VPLC_L2_MEDIUM_25_35,5,median_Tper,25,25,25,25,0,0,25;25;25;25;25
vPLC_container,VPLC_L2_MEDIUM_25_35,5,Q99_Tper,26,45,35,31,19,0.226418431,31;29;26;45;44
vPLC_container,VPLC_L2_MEDIUM_25_35,5,Q999_Tper,37,54,47.8,53,17,0.14578453,37;53;42;54;53
vPLC_container,VPLC_L2_MEDIUM_25_35,5,Rmiss,0.004,0.02004008,0.011014425,0.006012024,0.01604008,0.670818152,0.005;0.006012024;0.004;0.02002002;0.02004008
vPLC_container,VPLC_L2_MEDIUM_25_35,5,Lburst,1,1,1,1,0,0,1;1;1;1;1
vPLC_container,VPLC_L2_MEDIUM_25_35,5,DQ99,1,21,11.8,12,20,0.672435065,12;5;1;21;20
vPLC_container,VPLC_L3_HIGH_75_100,5,median_Tper,75,75,75,75,0,0,75;75;75;75;75
vPLC_container,VPLC_L3_HIGH_75_100,5,Q99_Tper,79,98,89.2,88,19,0.082503899,97;88;84;79;98
vPLC_container,VPLC_L3_HIGH_75_100,5,Q999_Tper,86,105,96.8,100,19,0.07374615,105;91;86;102;100
vPLC_container,VPLC_L3_HIGH_75_100,5,Rmiss,0,0.006,0.0024,0.001,0.006,1.073674894,0.005;0;0;0.006;0.001
vPLC_container,VPLC_L3_HIGH_75_100,5,Lburst,0,1,0.6,1,1,0.816496581,1;0;0;1;1
vPLC_container,VPLC_L3_HIGH_75_100,5,DQ99,3,27,13.6,9,24,0.731756194,27;5;3;24;9
vPLC_container,VPLC_L3_STRESS_75_80,5,median_Tper,75,75,75,75,0,0,75;75;75;75;75
vPLC_container,VPLC_L3_STRESS_75_80,5,Q99_Tper,84,97,89.2,87,13,0.052774001,86;97;92;87;84
vPLC_container,VPLC_L3_STRESS_75_80,5,Q999_Tper,87,98,93.2,94,11,0.039218169,95;98;94;92;87
vPLC_container,VPLC_L3_STRESS_75_80,5,Rmiss,0.016,0.026,0.0234,0.025,0.01,0.158983549,0.016;0.025;0.025;0.025;0.026
vPLC_container,VPLC_L3_STRESS_75_80,5,Lburst,1,1,1,1,0,0,1;1;1;1;1
vPLC_container,VPLC_L3_STRESS_75_80,5,DQ99,3,19,7.6,5,16,0.769933623,19;3;4;7;5
