object,mode_id,run_count,rows_valid_total,t0_ms,deadline_threshold_ms,load_level,load_passes,cycle_exec_min_ms,cycle_exec_max_ms,cycle_exec_mean_of_runs_ms,cycle_exec_median_of_runs_ms,cycle_exec_q95_max_of_runs_ms,cycle_exec_q99_max_of_runs_ms,cycle_exec_q999_max_of_runs_ms,cycle_exec_over_threshold_total,Rover_exec_total,Lburst_exec_max,run_ids
vPLC_container,VPLC_L0_IDLE_10_20,5,5000,10,20,0,0,0.01,14.866,0.4725508,0.056,4.456,4.977,6.365,0,0,0,RUN_20260509_VPLC_L0_IDLE_10_20_S01_R01;RUN_20260509_VPLC_L0_IDLE_10_20_S01_R02;RUN_20260509_VPLC_L0_IDLE_10_20_S01_R03;RUN_20260509_VPLC_L0_IDLE_10_20_S01_R04;RUN_20260509_VPLC_L0_IDLE_10_20_S01_R05
vPLC_container,VPLC_L1_LIGHT_10_20,5,5000,10,20,1,32,0.025,15.724,0.4955752,0.069,4.578,5.061,15.257,0,0,0,RUN_20260509_VPLC_L1_LIGHT_10_20_S01_R01;RUN_20260509_VPLC_L1_LIGHT_10_20_S01_R02;RUN_20260509_VPLC_L1_LIGHT_10_20_S01_R03;RUN_20260509_VPLC_L1_LIGHT_10_20_S01_R04;RUN_20260509_VPLC_L1_LIGHT_10_20_S01_R05
vPLC_container,VPLC_L2_MEDIUM_25_35,5,5000,25,35,2,128,0.02,6.794,0.519746,0.106,4.579,5.027,6.702,0,0,0,RUN_20260509_VPLC_L2_MEDIUM_25_35_S01_R01;RUN_20260509_VPLC_L2_MEDIUM_25_35_S01_R02;RUN_20260509_VPLC_L2_MEDIUM_25_35_S01_R03;RUN_20260509_VPLC_L2_MEDIUM_25_35_S01_R04;RUN_20260509_VPLC_L2_MEDIUM_25_35_S01_R05
vPLC_container,VPLC_L3_HIGH_75_100,5,5000,75,100,3,512,0.052,14.685,0.6656402,0.254,4.739,5.128,6.62,0,0,0,RUN_20260509_VPLC_L3_HIGH_75_100_S01_R01;RUN_20260509_VPLC_L3_HIGH_75_100_S01_R02;RUN_20260509_VPLC_L3_HIGH_75_100_S01_R03;RUN_20260509_VPLC_L3_HIGH_75_100_S01_R04;RUN_20260509_VPLC_L3_HIGH_75_100_S01_R05
vPLC_container,VPLC_L3_STRESS_75_80,5,5000,75,80,3,512,0.066,7.003,0.6588948,0.255,4.764,5.126,5.932,0,0,0,RUN_20260509_VPLC_L3_STRESS_75_80_S01_R01;RUN_20260509_VPLC_L3_STRESS_75_80_S01_R02;RUN_20260510_VPLC_L3_STRESS_75_80_S01_R03;RUN_20260510_VPLC_L3_STRESS_75_80_S01_R04;RUN_20260510_VPLC_L3_STRESS_75_80_S01_R05
