object,mode_id,run_count,rows_ok_total,t0_ms,deadline_threshold_ms,load_level,load_passes,Tper_min_ms,Tper_max_ms,Tper_mean_of_runs_ms,Tper_median_of_runs_ms,Tper_q95_max_of_runs_ms,Tper_q99_max_of_runs_ms,Tper_q999_max_of_runs_ms,deadline_miss_total,Rmiss_total,Lburst_max,run_ids
vPLC_container,VPLC_L0_IDLE_10_20,5,4970,10,20,0,0,1,27,10.060427376,10,10,17,27,28,0.005633803,1,RUN_20260510_VPLC_L0_IDLE_10_20_S01_R01;RUN_20260510_VPLC_L0_IDLE_10_20_S01_R02;RUN_20260510_VPLC_L0_IDLE_10_20_S01_R03;RUN_20260510_VPLC_L0_IDLE_10_20_S01_R04;RUN_20260510_VPLC_L0_IDLE_10_20_S01_R05
vPLC_container,VPLC_L1_LIGHT_10_20,5,4961,10,20,1,32,1,30,10.078778728,10,10,23,30,31,0.00624874,1,RUN_20260510_VPLC_L1_LIGHT_10_20_S01_R01;RUN_20260510_VPLC_L1_LIGHT_10_20_S01_R02;RUN_20260510_VPLC_L1_LIGHT_10_20_S01_R03;RUN_20260510_VPLC_L1_LIGHT_10_20_S01_R04;RUN_20260510_VPLC_L1_LIGHT_10_20_S01_R05
vPLC_container,VPLC_L2_MEDIUM_25_35,5,4995,25,35,2,128,1,54,25.025045085,25,25,45,54,55,0.011011011,1,RUN_20260510_VPLC_L2_MEDIUM_25_35_S01_R01;RUN_20260510_VPLC_L2_MEDIUM_25_35_S01_R02;RUN_20260510_VPLC_L2_MEDIUM_25_35_S01_R03;RUN_20260510_VPLC_L2_MEDIUM_25_35_S01_R04;RUN_20260510_VPLC_L2_MEDIUM_25_35_S01_R05
vPLC_container,VPLC_L3_HIGH_75_100,5,5000,75,100,3,512,43,107,75,75,75,98,105,12,0.0024,1,RUN_20260510_VPLC_L3_HIGH_75_100_S01_R01;RUN_20260510_VPLC_L3_HIGH_75_100_S01_R02;RUN_20260510_VPLC_L3_HIGH_75_100_S01_R03;RUN_20260510_VPLC_L3_HIGH_75_100_S01_R04;RUN_20260510_VPLC_L3_HIGH_75_100_S01_R05
vPLC_container,VPLC_L3_STRESS_75_80,5,5000,75,80,3,512,50,100,75,75,75,97,98,117,0.0234,1,RUN_20260510_VPLC_L3_STRESS_75_80_S01_R01;RUN_20260510_VPLC_L3_STRESS_75_80_S01_R02;RUN_20260510_VPLC_L3_STRESS_75_80_S01_R03;RUN_20260510_VPLC_L3_STRESS_75_80_S01_R04;RUN_20260510_VPLC_L3_STRESS_75_80_S01_R05
