run_id,mode_id,series_id,object,node_id,sample_index,cycle_index,cycle_counter,ts_observe,ts_start,ts_end,timestamp_tick_ns,timestamp_source,t0_ms,deadline_threshold_ms,Tper,Jper,deadline_miss,heartbeat,workload_accumulator,load_level,load_passes,error_flag,quality_flag,notes,cycle_exec_ms,cycle_nominal_ms,program_status
RUN_20260509_VPLC_L2_MEDIUM_25_35_S01_R02,VPLC_L2_MEDIUM_25_35,SER_20260509_VPLC_L2_MEDIUM_25_35_S01,vPLC_container,VPLC_HOST,0,,,2026-05-09T17:58:57.764790264Z,,,,host_log,25,35,,,,,,2,128,,technical_check,vplc_status_cycle_duration_not_validated_as_Tper,0.062,100,работает
RUN_20260509_VPLC_L2_MEDIUM_25_35_S01_R02,VPLC_L2_MEDIUM_25_35,SER_20260509_VPLC_L2_MEDIUM_25_35_S01,vPLC_container,VPLC_HOST,1,,,2026-05-09T17:58:58.819716733Z,,,,host_log,25,35,,,,,,2,128,,technical_check,vplc_status_cycle_duration_not_validated_as_Tper,0.106,100,работает
RUN_20260509_VPLC_L2_MEDIUM_25_35_S01_R02,VPLC_L2_MEDIUM_25_35,SER_20260509_VPLC_L2_MEDIUM_25_35_S01,vPLC_container,VPLC_HOST,2,,,2026-05-09T17:58:59.873903225Z,,,,host_log,25,35,,,,,,2,128,,technical_check,vplc_status_cycle_duration_not_validated_as_Tper,0.105,100,работает
RUN_20260509_VPLC_L2_MEDIUM_25_35_S01_R02,VPLC_L2_MEDIUM_25_35,SER_20260509_VPLC_L2_MEDIUM_25_35_S01,vPLC_container,VPLC_HOST,3,,,2026-05-09T17:59:00.931240074Z,,,,host_log,25,35,,,,,,2,128,,technical_check,vplc_status_cycle_duration_not_validated_as_Tper,0.087,100,работает
RUN_20260509_VPLC_L2_MEDIUM_25_35_S01_R02,VPLC_L2_MEDIUM_25_35,SER_20260509_VPLC_L2_MEDIUM_25_35_S01,vPLC_container,VPLC_HOST,4,,,2026-05-09T17:59:01.986534333Z,,,,host_log,25,35,,,,,,2,128,,technical_check,vplc_status_cycle_duration_not_validated_as_Tper,0.106,100,работает
RUN_20260509_VPLC_L2_MEDIUM_25_35_S01_R02,VPLC_L2_MEDIUM_25_35,SER_20260509_VPLC_L2_MEDIUM_25_35_S01,vPLC_container,VPLC_HOST,5,,,2026-05-09T17:59:03.041577110Z,,,,host_log,25,35,,,,,,2,128,,technical_check,vplc_status_cycle_duration_not_validated_as_Tper,0.088,100,работает
RUN_20260509_VPLC_L2_MEDIUM_25_35_S01_R02,VPLC_L2_MEDIUM_25_35,SER_20260509_VPLC_L2_MEDIUM_25_35_S01,vPLC_container,VPLC_HOST,6,,,2026-05-09T17:59:04.096841211Z,,,,host_log,25,35,,,,,,2,128,,technical_check,vplc_status_cycle_duration_not_validated_as_Tper,0.106,100,работает
RUN_20260509_VPLC_L2_MEDIUM_25_35_S01_R02,VPLC_L2_MEDIUM_25_35,SER_20260509_VPLC_L2_MEDIUM_25_35_S01,vPLC_container,VPLC_HOST,7,,,2026-05-09T17:59:05.150564133Z,,,,host_log,25,35,,,,,,2,128,,technical_check,vplc_status_cycle_duration_not_validated_as_Tper,0.048,100,работает
RUN_20260509_VPLC_L2_MEDIUM_25_35_S01_R02,VPLC_L2_MEDIUM_25_35,SER_20260509_VPLC_L2_MEDIUM_25_35_S01,vPLC_container,VPLC_HOST,8,,,2026-05-09T17:59:06.208294763Z,,,,host_log,25,35,,,,,,2,128,,technical_check,vplc_status_cycle_duration_not_validated_as_Tper,0.108,100,работает
RUN_20260509_VPLC_L2_MEDIUM_25_35_S01_R02,VPLC_L2_MEDIUM_25_35,SER_20260509_VPLC_L2_MEDIUM_25_35_S01,vPLC_container,VPLC_HOST,9,,,2026-05-09T17:59:07.264050405Z,,,,host_log,25,35,,,,,,2,128,,technical_check,vplc_status_cycle_duration_not_validated_as_Tper,0.109,100,работает
RUN_20260509_VPLC_L2_MEDIUM_25_35_S01_R02,VPLC_L2_MEDIUM_25_35,SER_20260509_VPLC_L2_MEDIUM_25_35_S01,vPLC_container,VPLC_HOST,10,,,2026-05-09T17:59:08.317546725Z,,,,host_log,25,35,,,,,,2,128,,technical_check,vplc_status_cycle_duration_not_validated_as_Tper,0.100,100,работает
RUN_20260509_VPLC_L2_MEDIUM_25_35_S01_R02,VPLC_L2_MEDIUM_25_35,SER_20260509_VPLC_L2_MEDIUM_25_35_S01,vPLC_container,VPLC_HOST,11,,,2026-05-09T17:59:09.374333626Z,,,,host_log,25,35,,,,,,2,128,,technical_check,vplc_status_cycle_duration_not_validated_as_Tper,4.512,100,работает
RUN_20260509_VPLC_L2_MEDIUM_25_35_S01_R02,VPLC_L2_MEDIUM_25_35,SER_20260509_VPLC_L2_MEDIUM_25_35_S01,vPLC_container,VPLC_HOST,12,,,2026-05-09T17:59:10.429583873Z,,,,host_log,25,35,,,,,,2,128,,technical_check,vplc_status_cycle_duration_not_validated_as_Tper,0.086,100,работает
RUN_20260509_VPLC_L2_MEDIUM_25_35_S01_R02,VPLC_L2_MEDIUM_25_35,SER_20260509_VPLC_L2_MEDIUM_25_35_S01,vPLC_container,VPLC_HOST,13,,,2026-05-09T17:59:11.483992092Z,,,,host_log,25,35,,,,,,2,128,,technical_check,vplc_status_cycle_duration_not_validated_as_Tper,0.109,100,работает
RUN_20260509_VPLC_L2_MEDIUM_25_35_S01_R02,VPLC_L2_MEDIUM_25_35,SER_20260509_VPLC_L2_MEDIUM_25_35_S01,vPLC_container,VPLC_HOST,14,,,2026-05-09T17:59:12.537905938Z,,,,host_log,25,35,,,,,,2,128,,technical_check,vplc_status_cycle_duration_not_validated_as_Tper,0.086,100,работает
RUN_20260509_VPLC_L2_MEDIUM_25_35_S01_R02,VPLC_L2_MEDIUM_25_35,SER_20260509_VPLC_L2_MEDIUM_25_35_S01,vPLC_container,VPLC_HOST,15,,,2026-05-09T17:59:13.593284482Z,,,,host_log,25,35,,,,,,2,128,,technical_check,vplc_status_cycle_duration_not_validated_as_Tper,0.106,100,работает
RUN_20260509_VPLC_L2_MEDIUM_25_35_S01_R02,VPLC_L2_MEDIUM_25_35,SER_20260509_VPLC_L2_MEDIUM_25_35_S01,vPLC_container,VPLC_HOST,16,,,2026-05-09T17:59:14.650553729Z,,,,host_log,25,35,,,,,,2,128,,technical_check,vplc_status_cycle_duration_not_validated_as_Tper,0.048,100,работает
RUN_20260509_VPLC_L2_MEDIUM_25_35_S01_R02,VPLC_L2_MEDIUM_25_35,SER_20260509_VPLC_L2_MEDIUM_25_35_S01,vPLC_container,VPLC_HOST,17,,,2026-05-09T17:59:15.706628744Z,,,,host_log,25,35,,,,,,2,128,,technical_check,vplc_status_cycle_duration_not_validated_as_Tper,0.109,100,работает
RUN_20260509_VPLC_L2_MEDIUM_25_35_S01_R02,VPLC_L2_MEDIUM_25_35,SER_20260509_VPLC_L2_MEDIUM_25_35_S01,vPLC_container,VPLC_HOST,18,,,2026-05-09T17:59:16.759013707Z,,,,host_log,25,35,,,,,,2,128,,technical_check,vplc_status_cycle_duration_not_validated_as_Tper,0.091,100,работает
RUN_20260509_VPLC_L2_MEDIUM_25_35_S01_R02,VPLC_L2_MEDIUM_25_35,SER_20260509_VPLC_L2_MEDIUM_25_35_S01,vPLC_container,VPLC_HOST,19,,,2026-05-09T17:59:17.816090048Z,,,,host_log,25,35,,,,,,2,128,,technical_check,vplc_status_cycle_duration_not_validated_as_Tper,0.106,100,работает
RUN_20260509_VPLC_L2_MEDIUM_25_35_S01_R02,VPLC_L2_MEDIUM_25_35,SER_20260509_VPLC_L2_MEDIUM_25_35_S01,vPLC_container,VPLC_HOST,20,,,2026-05-09T17:59:18.872107718Z,,,,host_log,25,35,,,,,,2,128,,technical_check,vplc_status_cycle_duration_not_validated_as_Tper,0.103,100,работает
RUN_20260509_VPLC_L2_MEDIUM_25_35_S01_R02,VPLC_L2_MEDIUM_25_35,SER_20260509_VPLC_L2_MEDIUM_25_35_S01,vPLC_container,VPLC_HOST,21,,,2026-05-09T17:59:19.924516056Z,,,,host_log,25,35,,,,,,2,128,,technical_check,vplc_status_cycle_duration_not_validated_as_Tper,0.088,100,работает
RUN_20260509_VPLC_L2_MEDIUM_25_35_S01_R02,VPLC_L2_MEDIUM_25_35,SER_20260509_VPLC_L2_MEDIUM_25_35_S01,vPLC_container,VPLC_HOST,22,,,2026-05-09T17:59:20.981239133Z,,,,host_log,25,35,,,,,,2,128,,technical_check,vplc_status_cycle_duration_not_validated_as_Tper,0.107,100,работает
RUN_20260509_VPLC_L2_MEDIUM_25_35_S01_R02,VPLC_L2_MEDIUM_25_35,SER_20260509_VPLC_L2_MEDIUM_25_35_S01,vPLC_container,VPLC_HOST,23,,,2026-05-09T17:59:22.035839893Z,,,,host_log,25,35,,,,,,2,128,,technical_check,vplc_status_cycle_duration_not_validated_as_Tper,0.085,100,работает
RUN_20260509_VPLC_L2_MEDIUM_25_35_S01_R02,VPLC_L2_MEDIUM_25_35,SER_20260509_VPLC_L2_MEDIUM_25_35_S01,vPLC_container,VPLC_HOST,24,,,2026-05-09T17:59:23.090060452Z,,,,host_log,25,35,,,,,,2,128,,technical_check,vplc_status_cycle_duration_not_validated_as_Tper,0.107,100,работает
RUN_20260509_VPLC_L2_MEDIUM_25_35_S01_R02,VPLC_L2_MEDIUM_25_35,SER_20260509_VPLC_L2_MEDIUM_25_35_S01,vPLC_container,VPLC_HOST,25,,,2026-05-09T17:59:24.148158492Z,,,,host_log,25,35,,,,,,2,128,,technical_check,vplc_status_cycle_duration_not_validated_as_Tper,0.058,100,работает
RUN_20260509_VPLC_L2_MEDIUM_25_35_S01_R02,VPLC_L2_MEDIUM_25_35,SER_20260509_VPLC_L2_MEDIUM_25_35_S01,vPLC_container,VPLC_HOST,26,,,2026-05-09T17:59:25.201233575Z,,,,host_log,25,35,,,,,,2,128,,technical_check,vplc_status_cycle_duration_not_validated_as_Tper,0.107,100,работает
RUN_20260509_VPLC_L2_MEDIUM_25_35_S01_R02,VPLC_L2_MEDIUM_25_35,SER_20260509_VPLC_L2_MEDIUM_25_35_S01,vPLC_container,VPLC_HOST,27,,,2026-05-09T17:59:26.260131809Z,,,,host_log,25,35,,,,,,2,128,,technical_check,vplc_status_cycle_duration_not_validated_as_Tper,0.099,100,работает
RUN_20260509_VPLC_L2_MEDIUM_25_35_S01_R02,VPLC_L2_MEDIUM_25_35,SER_20260509_VPLC_L2_MEDIUM_25_35_S01,vPLC_container,VPLC_HOST,28,,,2026-05-09T17:59:27.314097546Z,,,,host_log,25,35,,,,,,2,128,,technical_check,vplc_status_cycle_duration_not_validated_as_Tper,0.107,100,работает
RUN_20260509_VPLC_L2_MEDIUM_25_35_S01_R02,VPLC_L2_MEDIUM_25_35,SER_20260509_VPLC_L2_MEDIUM_25_35_S01,vPLC_container,VPLC_HOST,29,,,2026-05-09T17:59:28.370998402Z,,,,host_log,25,35,,,,,,2,128,,technical_check,vplc_status_cycle_duration_not_validated_as_Tper,4.732,100,работает
RUN_20260509_VPLC_L2_MEDIUM_25_35_S01_R02,VPLC_L2_MEDIUM_25_35,SER_20260509_VPLC_L2_MEDIUM_25_35_S01,vPLC_container,VPLC_HOST,30,,,2026-05-09T17:59:29.425020579Z,,,,host_log,25,35,,,,,,2,128,,technical_check,vplc_status_cycle_duration_not_validated_as_Tper,0.102,100,работает
RUN_20260509_VPLC_L2_MEDIUM_25_35_S01_R02,VPLC_L2_MEDIUM_25_35,SER_20260509_VPLC_L2_MEDIUM_25_35_S01,vPLC_container,VPLC_HOST,31,,,2026-05-09T17:59:30.480380225Z,,,,host_log,25,35,,,,,,2,128,,technical_check,vplc_status_cycle_duration_not_validated_as_Tper,0.105,100,работает
