object,mode_id,run_count,rows_ok_total,t0_ms,deadline_threshold_ms,load_level,load_passes,Tper_min_ms,Tper_max_ms,Tper_mean_of_runs_ms,Tper_median_of_runs_ms,Tper_q95_max_of_runs_ms,Tper_q99_max_of_runs_ms,Tper_q999_max_of_runs_ms,deadline_miss_total,Rmiss_total,Lburst_max,run_ids
HW_PLC,S7_L0_IDLE_10_20,5,5000,10,20,0,0,0.394,1.817,0.5903702,0.575,1.212,1.39,1.733,0,0,0,RUN_20260502_S7_L0_IDLE_10_20_S01_R01;RUN_20260502_S7_L0_IDLE_10_20_S01_R02;RUN_20260502_S7_L0_IDLE_10_20_S01_R03;RUN_20260502_S7_L0_IDLE_10_20_S01_R04;RUN_20260502_S7_L0_IDLE_10_20_S01_R05
HW_PLC,S7_L1_LIGHT_10_20,5,5000,10,20,1,32,4.74,8.142,5.4849016,4.9615,7.055,7.307,7.737,0,0,0,RUN_20260502_S7_L1_LIGHT_10_20_S01_R01;RUN_20260502_S7_L1_LIGHT_10_20_S01_R02;RUN_20260502_S7_L1_LIGHT_10_20_S01_R03;RUN_20260502_S7_L1_LIGHT_10_20_S01_R04;RUN_20260502_S7_L1_LIGHT_10_20_S01_R05
HW_PLC,S7_L2_MEDIUM_25_35,5,5000,25,35,2,128,17.4,25.926,19.3874312,18.059,24.142,24.819,25.464,0,0,0,RUN_20260502_S7_L2_MEDIUM_25_35_S01_R01;RUN_20260502_S7_L2_MEDIUM_25_35_S01_R02;RUN_20260502_S7_L2_MEDIUM_25_35_S01_R03;RUN_20260502_S7_L2_MEDIUM_25_35_S01_R04;RUN_20260502_S7_L2_MEDIUM_25_35_S01_R05
HW_PLC,S7_L3_HIGH_75_100,5,5000,75,100,3,512,68.061,94.652,73.266997,73.1555,79.01,83.569,86.721,0,0,0,RUN_20260502_S7_L3_HIGH_75_100_S01_R01;RUN_20260502_S7_L3_HIGH_75_100_S01_R02;RUN_20260502_S7_L3_HIGH_75_100_S01_R03;RUN_20260502_S7_L3_HIGH_75_100_S01_R04;RUN_20260502_S7_L3_HIGH_75_100_S01_R05
HW_PLC,S7_L3_STRESS_75_80,5,5000,75,80,3,512,68.051,88.347,73.1902424,73.1045,78.226,83.669,86.208,144,0.0288,1,RUN_20260502_S7_L3_STRESS_75_80_S01_R01;RUN_20260502_S7_L3_STRESS_75_80_S01_R02;RUN_20260502_S7_L3_STRESS_75_80_S01_R03;RUN_20260502_S7_L3_STRESS_75_80_S01_R04;RUN_20260502_S7_L3_STRESS_75_80_S01_R05
